"日期","标题","作者","版面","文章ID","原文路径"
2026-01-04,"为人民出政绩  以实干出政绩","任  平","要闻",people_daily_20260104_30129038,"data/vault/2026/01/2026-01-04/01-要闻/为人民出政绩 以实干出政绩.md"
2026-01-06,"追求实实在在的政绩（思想纵横）","伍赳鸠","理论",people_daily_20260106_30129748,"data/vault/2026/01/2026-01-06/09-理论/追求实实在在的政绩（思想纵横）.md"
2026-02-05,"树立和践行正确政绩观  奋力谱写公安工作现代化山西篇章","","要闻",people_daily_20260205_30138601,"data/vault/2026/02/2026-02-05/02-要闻/树立和践行正确政绩观 奋力谱写公安工作现代化山西篇章.md"
2026-02-24,"在全党开展树立和践行正确政绩观学习教育","","要闻",people_daily_20260224_30141591,"data/vault/2026/02/2026-02-24/01-要闻/在全党开展树立和践行正确政绩观学习教育.md"
2026-02-27,"为人民出政绩  以实干出政绩","张  洋","要闻",people_daily_20260227_30142481,"data/vault/2026/02/2026-02-27/01-要闻/为人民出政绩 以实干出政绩.md"
2026-02-28,"确保学习教育取得实效（树立和践行正确政绩观）","","要闻",people_daily_20260228_30142706,"data/vault/2026/02/2026-02-28/01-要闻/确保学习教育取得实效（树立和践行正确政绩观）.md"
2026-03-03,"做人民的勤务员（金台潮声·政绩观系列谈）","王  毅","党建",people_daily_20260303_30143125,"data/vault/2026/03/2026-03-03/18-党建/做人民的勤务员（金台潮声·政绩观系列谈）.md"
2026-03-03,"校准“政绩坐标”  激发干事动能（前沿观察）","李家鼎","党建",people_daily_20260303_30143124,"data/vault/2026/03/2026-03-03/18-党建/校准“政绩坐标” 激发干事动能（前沿观察）.md"
2026-03-04,"推动学习教育入脑入心见行见效（树立和践行正确政绩观）","","要闻",people_daily_20260304_30143318,"data/vault/2026/03/2026-03-04/01-要闻/推动学习教育入脑入心见行见效（树立和践行正确政绩观）.md"
2026-03-05,"为人民出政绩  以实干出政绩","","两会特刊",people_daily_20260305_30143504,"data/vault/2026/03/2026-03-05/10-两会特刊/为人民出政绩 以实干出政绩.md"
2026-03-05,"树立和践行正确政绩观大家谈","","两会特刊",people_daily_20260305_30143507,"data/vault/2026/03/2026-03-05/10-两会特刊/树立和践行正确政绩观大家谈.md"
2026-03-08,"牢固树立和践行正确政绩观  推动实现“十五五”良好开局","","要闻",people_daily_20260308_30143984,"data/vault/2026/03/2026-03-08/03-要闻/牢固树立和践行正确政绩观 推动实现“十五五”良好开局.md"
2026-03-08,"树牢正确政绩观须常破“心中贼”（思想纵横）","贾云乾","理论",people_daily_20260308_30143958,"data/vault/2026/03/2026-03-08/14-理论/树牢正确政绩观须常破“心中贼”（思想纵横）.md"
2026-03-10,"以正确政绩观推动实现“十五五”良好开局（树立和践行正确政绩观）","","要闻",people_daily_20260310_30144447,"data/vault/2026/03/2026-03-10/01-要闻/以正确政绩观推动实现“十五五”良好开局（树立和践行正确政绩观）.md"
2026-03-10,"读懂两会关键词“政绩观”（两会笔记）","张  洋","两会特刊",people_daily_20260310_30144333,"data/vault/2026/03/2026-03-10/06-两会特刊/读懂两会关键词“政绩观”（两会笔记）.md"
2026-03-12,"牢固树立和践行正确政绩观  推动实现“十五五”良好开局","","两会特刊",people_daily_20260312_30144854,"data/vault/2026/03/2026-03-12/06-两会特刊/牢固树立和践行正确政绩观 推动实现“十五五”良好开局.md"
2026-03-12,"把发展新质生产力摆在更加突出的战略位置（牢固树立和践行正确政绩观  推动实现“十五五”良好开局）","","两会特刊",people_daily_20260312_30144862,"data/vault/2026/03/2026-03-12/08-两会特刊/把发展新质生产力摆在更加突出的战略位置（牢固树立和践行正确政绩观 推动实现“十五五”良好开局）.md"
2026-03-12,"政绩观连着发展观","李  拯","两会特刊",people_daily_20260312_30144863,"data/vault/2026/03/2026-03-12/08-两会特刊/政绩观连着发展观.md"
2026-03-12,"政绩不是喊出来的，是干出来的","罗珊珊","两会特刊",people_daily_20260312_30144867,"data/vault/2026/03/2026-03-12/09-两会特刊/政绩不是喊出来的，是干出来的.md"
2026-03-12,"要在增强经济韧性上持续用力（牢固树立和践行正确政绩观  推动实现“十五五”良好开局）","","两会特刊",people_daily_20260312_30144866,"data/vault/2026/03/2026-03-12/09-两会特刊/要在增强经济韧性上持续用力（牢固树立和践行正确政绩观 推动实现“十五五”良好开局）.md"
2026-03-12,"一减一增里的政绩观","曲哲涵","两会特刊",people_daily_20260312_30144876,"data/vault/2026/03/2026-03-12/11-两会特刊/一减一增里的政绩观.md"
2026-03-12,"一切工作都是为了人民的幸福（牢固树立和践行正确政绩观  推动实现“十五五”良好开局）","","两会特刊",people_daily_20260312_30144875,"data/vault/2026/03/2026-03-12/11-两会特刊/一切工作都是为了人民的幸福（牢固树立和践行正确政绩观 推动实现“十五五”良好开局）.md"
2026-03-14,"“正确政绩观”增添世界对中国作用的信心（和音）","","要闻",people_daily_20260314_30145218,"data/vault/2026/03/2026-03-14/02-要闻/“正确政绩观”增添世界对中国作用的信心（和音）.md"
2026-03-15,"压紧压实责任  有力有序开展（树立和践行正确政绩观）","","要闻",people_daily_20260315_30145336,"data/vault/2026/03/2026-03-15/01-要闻/压紧压实责任 有力有序开展（树立和践行正确政绩观）.md"
2026-03-17,"“政绩观问题是一个根本性问题”（总书记的人民情怀）","赵  成","要闻",people_daily_20260317_30145571,"data/vault/2026/03/2026-03-17/01-要闻/“政绩观问题是一个根本性问题”（总书记的人民情怀）.md"
2026-03-17,"新官咋能不理旧账（金台潮声·政绩观系列谈）","赵  兵","党建",people_daily_20260317_30145559,"data/vault/2026/03/2026-03-17/19-党建/新官咋能不理旧账（金台潮声·政绩观系列谈）.md"
2026-03-18,"“干事创业一定要树立正确政绩观”（总书记的人民情怀）","许  诺","要闻",people_daily_20260318_30145792,"data/vault/2026/03/2026-03-18/01-要闻/“干事创业一定要树立正确政绩观”（总书记的人民情怀）.md"
2026-03-18,"推动学习教育走深走实（树立和践行正确政绩观）","","要闻",people_daily_20260318_30145794,"data/vault/2026/03/2026-03-18/01-要闻/推动学习教育走深走实（树立和践行正确政绩观）.md"
2026-03-18,"推动树立和践行正确政绩观学习教育走深走实","","要闻",people_daily_20260318_30145814,"data/vault/2026/03/2026-03-18/04-要闻/推动树立和践行正确政绩观学习教育走深走实.md"
2026-03-18,"“菜篮子”里的政绩观（暖闻热评）","崔  妍","评论",people_daily_20260318_30145820,"data/vault/2026/03/2026-03-18/05-评论/“菜篮子”里的政绩观（暖闻热评）.md"
2026-03-19,"深学细照笃行  校准政绩坐标（树立和践行正确政绩观）","","要闻",people_daily_20260319_30146088,"data/vault/2026/03/2026-03-19/01-要闻/深学细照笃行 校准政绩坐标（树立和践行正确政绩观）.md"
2026-03-20,"“为民造福是最大政绩”（总书记的人民情怀）","原韬雄","要闻",people_daily_20260320_30146238,"data/vault/2026/03/2026-03-20/01-要闻/“为民造福是最大政绩”（总书记的人民情怀）.md"
2026-03-20,"“一眼千年”看政绩（人民论坛）","崔  妍","要闻",people_daily_20260320_30146259,"data/vault/2026/03/2026-03-20/04-要闻/“一眼千年”看政绩（人民论坛）.md"
2026-03-21,"往心里学  向实处干（树立和践行正确政绩观）","","要闻",people_daily_20260321_30146355,"data/vault/2026/03/2026-03-21/01-要闻/往心里学 向实处干（树立和践行正确政绩观）.md"
2026-03-23,"调研越是走深，政绩越会向实（人民论坛）","尹双红","要闻",people_daily_20260323_30146679,"data/vault/2026/03/2026-03-23/04-要闻/调研越是走深，政绩越会向实（人民论坛）.md"
2026-03-24,"树立和践行正确政绩观，努力创造经得起实践、人民、历史检验的实绩","中共中央党史和文献研究院","要闻",people_daily_20260324_30147005,"data/vault/2026/03/2026-03-24/06-要闻/树立和践行正确政绩观，努力创造经得起实践、人民、历史检验的实绩.md"
2026-03-24,"政绩观问题是一个根本性问题（深入学习贯彻习近平新时代中国特色社会主义思想）","祝灵君","理论",people_daily_20260324_30147019,"data/vault/2026/03/2026-03-24/09-理论/政绩观问题是一个根本性问题（深入学习贯彻习近平新时代中国特色社会主义思想）.md"
2026-03-24,"实事求是贵在“求”（金台潮声·政绩观系列谈）","张  洋","党建",people_daily_20260324_30146957,"data/vault/2026/03/2026-03-24/19-党建/实事求是贵在“求”（金台潮声·政绩观系列谈）.md"
2026-03-25,"“三拍”本质上是政绩观错位（思想纵横）","侯金亮","理论",people_daily_20260325_30147149,"data/vault/2026/03/2026-03-25/09-理论/“三拍”本质上是政绩观错位（思想纵横）.md"
2026-03-26,"画好网上网下“同心圆”  筑牢为民造福政绩观","张  驰","专题",people_daily_20260326_30147375,"data/vault/2026/03/2026-03-26/13-专题/画好网上网下“同心圆” 筑牢为民造福政绩观.md"
2026-03-27,"以正确政绩观审视“三把火”（思想纵横）","谢兵良","理论",people_daily_20260327_30147703,"data/vault/2026/03/2026-03-27/09-理论/以正确政绩观审视“三把火”（思想纵横）.md"
2026-03-29,"力求学深悟透  推动入脑入心（树立和践行正确政绩观）","","要闻",people_daily_20260329_30147950,"data/vault/2026/03/2026-03-29/01-要闻/力求学深悟透 推动入脑入心（树立和践行正确政绩观）.md"
2026-03-30,"筑牢干事创业的思想根基（树立和践行正确政绩观）","","要闻",people_daily_20260330_30148003,"data/vault/2026/03/2026-03-30/01-要闻/筑牢干事创业的思想根基（树立和践行正确政绩观）.md"
2026-03-31,"树立和践行正确政绩观学习教育中央指导组培训会议召开","","要闻",people_daily_20260331_30148277,"data/vault/2026/03/2026-03-31/02-要闻/树立和践行正确政绩观学习教育中央指导组培训会议召开.md"
2026-03-31,"树立和践行正确政绩观学习教育中央指导组派驻地方和单位名单公布","","要闻",people_daily_20260331_30148279,"data/vault/2026/03/2026-03-31/02-要闻/树立和践行正确政绩观学习教育中央指导组派驻地方和单位名单公布.md"
2026-03-31,"“政绩冲动症”背后有私心（金台潮声·政绩观系列谈）","孟祥夫","党建",people_daily_20260331_30148377,"data/vault/2026/03/2026-03-31/19-党建/“政绩冲动症”背后有私心（金台潮声·政绩观系列谈）.md"
2026-04-01,"树立和践行正确政绩观","","要闻",people_daily_20260401_30148476,"data/vault/2026/04/2026-04-01/01-要闻/树立和践行正确政绩观.md"
2026-04-01,"把握政绩观的“无我”与“有我”（思想纵横）","尉承栋","理论",people_daily_20260401_30148547,"data/vault/2026/04/2026-04-01/09-理论/把握政绩观的“无我”与“有我”（思想纵横）.md"
2026-04-02,"校准思想坐标  务求学习实效（树立和践行正确政绩观）","","要闻",people_daily_20260402_30148781,"data/vault/2026/04/2026-04-02/01-要闻/校准思想坐标 务求学习实效（树立和践行正确政绩观）.md"
2026-04-03,"把课堂搬到一线  将成果化为行动（树立和践行正确政绩观）","","要闻",people_daily_20260403_30148972,"data/vault/2026/04/2026-04-03/01-要闻/把课堂搬到一线 将成果化为行动（树立和践行正确政绩观）.md"
2026-04-07,"“忧国不谋身”里的政绩观（金台随笔）","邹文辉","评论",people_daily_20260407_30149454,"data/vault/2026/04/2026-04-07/05-评论/“忧国不谋身”里的政绩观（金台随笔）.md"
2026-04-07,"把政绩植根于“规律”的土壤（思想纵横）","蔡礼强","理论",people_daily_20260407_30149475,"data/vault/2026/04/2026-04-07/09-理论/把政绩植根于“规律”的土壤（思想纵横）.md"
2026-04-07,"“数字游戏”瞒不过群众感受（金台潮声·政绩观系列谈）","赵  成","党建",people_daily_20260407_30149530,"data/vault/2026/04/2026-04-07/19-党建/“数字游戏”瞒不过群众感受（金台潮声·政绩观系列谈）.md"
