传播渠道,发表日期,内容标题,阅读人数,阅读人数占比
全部,20260628,《人民日报》讲透【科技成果转化】：别只写“产学研”,35730,0.18150900304317474
推荐,20260628,《人民日报》讲透【科技成果转化】：别只写“产学研”,24076,0.20115500688552856
全部,20260530,《人民日报》写“因地制宜”：申论如何写县域发展,20661,0.10495799779891968
推荐,20260530,《人民日报》写“因地制宜”：申论如何写县域发展,18116,0.15135900676250458
全部,20260615,《人民日报》讲透【银发经济】：不是养老负担,17508,0.08894100040197372
全部,20260701,《人民日报》讲【六张网】：不是大基建清单,16217,0.08238299936056137
全部,20260625,《人民日报》讲【就业难】：不能只写“多给岗位”,14439,0.07334999740123749
推荐,20260615,《人民日报》讲透【银发经济】：不是养老负担,13864,0.11583399772644043
推荐,20260701,《人民日报》讲【六张网】：不是大基建清单,10544,0.08809500187635422
推荐,20260625,《人民日报》讲【就业难】：不能只写“多给岗位”,10509,0.08780299872159958
全部,20260609,《人民日报》讲透“全国统一大市场”：不止于大,8947,0.045451000332832336
全部,20260623,《人民日报》写【服务消费】：不是发券促销,7152,0.03633200004696846
全部,20260706,《人民日报》谈教育“十五五”：不是让孩子学得更多,7034,0.035732999444007874
推荐,20260609,《人民日报》讲透“全国统一大市场”：不止于大,6678,0.05579499900341034
朋友圈,20260628,《人民日报》讲透【科技成果转化】：别只写“产学研”,6177,0.4286609888076782
全部,20260610,《人民日报》讲透城市更新：不是只有“拆”,5466,0.0277670007199049
推荐,20260706,《人民日报》谈教育“十五五”：不是让孩子学得更多,5383,0.044975001364946365
全部,20260630,《人民日报》讲【文化传承】：既要守住根脉，也要走进生活、走向世界,4753,0.02414499968290329
推荐,20260623,《人民日报》写【服务消费】：不是发券促销,4462,0.03728000074625015
聊天会话,20260628,《人民日报》讲透【科技成果转化】：别只写“产学研”,4190,0.23777100443840027
全部,20260608,《人民日报》讲透“数字治理”：不是简单“上系统”,4049,0.020569000393152237
全部,20260605,《人民日报》写透文化传承：不是摆出来，而是连起来,3721,0.01890300028026104
全部,20260709,《人民日报》谈【安全治理】：安全不是成本问题,3504,0.017799999564886093
