
,数据趋势概况(2026.06.28-2026.07.27),,,,数据趋势概况(2026.06.28-2026.07.27),,,,,,数据来源概况(2026.06.28-2026.07.27)
,日期,渠道,阅读人数,,日期,分享人数,跳转阅读原文人数,微信收藏人数,发表篇数,,传播渠道,发表日期,内容标题,阅读人数,阅读人数占比
,2026-06-28,公众号消息,655,,2026-06-28,1063,0,480,1,,全部,20260628,《人民日报》讲透【科技成果转化】：别只写“产学研”,41415,0.1940850019454956
,2026-06-28,聊天会话,498,,2026-06-29,2149,0,884,2,,全部,20260718,《人民日报》再谈【县域经济】：不求“小而全”,27916,0.1308239996433258
,2026-06-28,朋友圈,572,,2026-06-30,1785,0,709,1,,推荐,20260628,《人民日报》讲透【科技成果转化】：别只写“产学研”,27868,0.21244899928569794
,2026-06-28,公众号主页,532,,2026-07-01,1599,0,613,1,,全部,20260701,《人民日报》讲【六张网】：不是大基建清单,24471,0.11467999964952469
,2026-06-28,其他,123,,2026-07-02,1321,0,447,1,,推荐,20260718,《人民日报》再谈【县域经济】：不求“小而全”,22252,0.16963599622249603
,2026-06-28,推荐,4055,,2026-07-03,1214,0,393,1,,推荐,20260701,《人民日报》讲【六张网】：不是大基建清单,16425,0.12521399557590485
,2026-06-28,搜一搜,105,,2026-07-04,880,0,316,1,,全部,20260530,《人民日报》写“因地制宜”：申论如何写县域发展,16352,0.07663100212812424
,2026-06-28,全部,6355,,2026-07-05,746,0,251,1,,推荐,20260530,《人民日报》写“因地制宜”：申论如何写县域发展,14476,0.11035600304603577
,2026-06-29,公众号消息,749,,2026-07-06,826,0,270,1,,全部,20260722,《人民日报》讲透“常态化帮扶”：不是简单“输血”,9203,0.04312799870967865
,2026-06-29,聊天会话,1418,,2026-07-07,819,0,228,1,,全部,20260706,《人民日报》谈教育“十五五”：不是让孩子学得更多,8776,0.041127000004053116
,2026-06-29,朋友圈,1872,,2026-07-08,809,0,275,1,,全部,20260625,《人民日报》讲【就业难】：不能只写“多给岗位”,7514,0.03521300107240677
,2026-06-29,公众号主页,798,,2026-07-09,820,0,285,1,,朋友圈,20260628,《人民日报》讲透【科技成果转化】：别只写“产学研”,7118,0.40915098786354065
,2026-06-29,其他,271,,2026-07-10,811,0,289,1,,推荐,20260706,《人民日报》谈教育“十五五”：不是让孩子学得更多,6812,0.051931001245975494
,2026-06-29,推荐,9019,,2026-07-11,554,0,182,1,,全部,20260720,《人民日报》谈【教育科技人才一体发展】：不是简单的并列,6336,0.02969300001859665
,2026-06-29,搜一搜,233,,2026-07-12,728,0,235,1,,推荐,20260625,《人民日报》讲【就业难】：不能只写“多给岗位”,5772,0.044002000242471695
,2026-06-29,全部,13910,,2026-07-13,1070,0,382,1,,推荐,20260722,《人民日报》讲透“常态化帮扶”：不是简单“输血”,5640,0.04299600049853325
,2026-06-30,公众号消息,759,,2026-07-14,802,0,303,1,,全部,20260615,《人民日报》讲透【银发经济】：不是养老负担,5487,0.025714000687003136
,2026-06-30,聊天会话,1189,,2026-07-15,877,0,248,1,,全部,20260716,《人民日报》谈【乡村文化振兴】：农家书屋不能只“有书”,5396,0.02528800070285797
,2026-06-30,朋友圈,1593,,2026-07-16,789,0,248,1,,全部,20260630,《人民日报》讲【文化传承】：既要守住根脉，也要走进生活、走向世界,4994,0.02340400032699108
,2026-06-30,公众号主页,759,,2026-07-17,696,0,196,0,,聊天会话,20260628,《人民日报》讲透【科技成果转化】：别只写“产学研”,4823,0.2434380054473877
,2026-06-30,其他,264,,2026-07-18,844,0,310,1,,推荐,20260615,《人民日报》讲透【银发经济】：不是养老负担,4466,0.034046001732349396
,2026-06-30,推荐,7075,,2026-07-19,1107,0,375,0,,全部,20260709,《人民日报》谈【安全治理】：安全不是成本问题,4398,0.020610999315977097
,2026-06-30,搜一搜,207,,2026-07-20,1462,0,522,1,,推荐,20260720,《人民日报》谈【教育科技人才一体发展】：不是简单的并列,3443,0.026247000321745872
,2026-06-30,全部,11477,,2026-07-21,1409,0,446,0,,全部,20260708,《人民日报》谈【服务业】高质量发展：从“卖产品”到“卖体验”,3405,0.015956999734044075
,2026-07-01,公众号消息,889,,2026-07-22,1248,0,402,1,,全部,20260712,《人民日报》谈【养老】：不仅仅是公益事业,3383,0.0158539991825819
,2026-07-01,聊天会话,870,,2026-07-23,1471,0,483,1,,聊天会话,20260701,《人民日报》讲【六张网】：不是大基建清单,3237,0.1633860021829605
