keyword,search_section,impressions,clicks,click_rate,related_terms
传承,文章,1165,32,0.0275,继承，非遗，红色
县域经济,文章,790,190,0.24050000000000002,县域，县域经济高质量发展，县域消费
新就业群体,文章,711,106,0.1491,新就业，新兴领域，外卖
社会工作,文章,582,49,0.0842,社工，社会工作部，社会
常态化帮扶,文章,549,92,0.16760000000000003,常态化帮扶持续巩固拓展脱贫攻坚成果，常态化，乡村振兴
人民日报,文章,471,8,0.017,人民，央视，立秋
文化,文章,448,50,0.1116,问好，文华，企业文化
科普,文章,411,24,0.0584,科普大赛，科技，健康科普
六张网,文章,384,58,0.151,六网，六张网建设，六张网包含哪些
未成年人,文章,383,19,0.0496,未成年，未成年人模式，未成年人网络保护条例
学习,公众号,396,32,0.0808,学校，xue，xu
学习大国,公众号,297,11,0.037000000000000005,办公室主任，焦点访谈，新质生产力
理想国,公众号,262,28,0.1069,理想，学人，十三邀
理想,公众号,115,9,0.0783,特斯拉，蔚来，理想i6
理想国读书,公众号,36,2,0.0556,地图书，理想国，老兵
理想国imaginist,公众号,35,1,0.0286,理想国，利维坦，理想
理想国公众号,公众号,28,3,0.10710000000000001,理想国，新世界，甲骨文
这是你的理想国,公众号,8,0,0.0,世玉，理想
花卷的理想国,公众号,7,0,0.0,
原乡理想国,公众号,5,0,0.0,
