article_key,title,send_date,first_record,last_record,recorded_days,income,exposure,seven_day_mature,observed_ecpm
2026-06-28|《人民日报》讲透【科技成果转化】：别只写“产学研”,《人民日报》讲透【科技成果转化】：别只写“产学研”,2026-06-28,2026-06-28,2026-07-04,7,101.37,25491,True,3.97669765799694
2026-08-05|《人民日报》谈新时代【社会工作】：不是社区“兜底包办”,《人民日报》谈新时代【社会工作】：不是社区“兜底包办”,2026-08-05,2026-08-05,2026-08-11,7,81.8,26486,True,3.08842407309522
2026-06-07|《人民日报》这样写“新就业群体”：从服务对象到城市伙伴,《人民日报》这样写“新就业群体”：从服务对象到城市伙伴,2026-06-07,2026-06-07,2026-06-13,7,75.54,16179,True,4.669015390320786
2026-06-09|《人民日报》讲透“全国统一大市场”：不止于大,《人民日报》讲透“全国统一大市场”：不止于大,2026-06-09,2026-06-09,2026-06-15,7,60.25,10695,True,5.633473585787751
2026-08-15|《人民日报》谈【基层责任边界】：属地不是无限责任,《人民日报》谈【基层责任边界】：属地不是无限责任,2026-08-15,2026-08-15,2026-08-21,7,56.65,18276,True,3.09969358721821
2026-06-10|《人民日报》讲透城市更新：不是只有“拆”,《人民日报》讲透城市更新：不是只有“拆”,2026-06-10,2026-06-10,2026-06-16,7,54.55,12452,True,4.38082235785416
2026-07-18|《人民日报》再谈【县域经济】：不求“小而全”,《人民日报》再谈【县域经济】：不求“小而全”,2026-07-18,2026-07-18,2026-07-24,7,49.71,17963,True,2.767355118855425
2026-08-01|《人民日报》谈【物业治理】：不是“有人扫地”就行,《人民日报》谈【物业治理】：不是“有人扫地”就行,2026-08-01,2026-08-01,2026-08-07,7,48.57,13665,True,3.5543358946212953
2026-06-05|《人民日报》写透文化传承：不是摆出来，而是连起来,《人民日报》写透文化传承：不是摆出来，而是连起来,2026-06-05,2026-06-05,2026-06-11,7,42.45,10214,True,4.156060309379283
2026-08-11|《人民日报》谈【中试平台】：不是实验室的简单放大,《人民日报》谈【中试平台】：不是实验室的简单放大,2026-08-11,2026-08-11,2026-08-17,7,41.89,7921,True,5.288473677565964
2026-05-29|人民日报讲营商环境：不是“不执法”，而是“规范执法”,人民日报讲营商环境：不是“不执法”，而是“规范执法”,2026-05-29,2026-05-29,2026-06-04,7,41.46,14356,True,2.8879910838673726
2026-05-30|《人民日报》写“因地制宜”：申论如何写县域发展,《人民日报》写“因地制宜”：申论如何写县域发展,2026-05-30,2026-05-30,2026-06-05,7,36.72,11704,True,3.137388926862611
2026-07-22|《人民日报》讲透“常态化帮扶”：不是简单“输血”,《人民日报》讲透“常态化帮扶”：不是简单“输血”,2026-07-22,2026-07-22,2026-07-28,7,35.55,11002,True,3.23123068532994
2026-07-01|《人民日报》讲【六张网】：不是大基建清单,《人民日报》讲【六张网】：不是大基建清单,2026-07-01,2026-07-01,2026-07-07,7,35.45,9268,True,3.824989210185585
2026-05-31|《人民日报》讲透“稳就业”：找得到活、上得了工、拿得到钱,《人民日报》讲透“稳就业”：找得到活、上得了工、拿得到钱,2026-05-31,2026-05-31,2026-06-06,7,32.99,8446,True,3.9059910016575894
2026-06-08|《人民日报》讲透“数字治理”：不是简单“上系统”,《人民日报》讲透“数字治理”：不是简单“上系统”,2026-06-08,2026-06-08,2026-06-14,7,32.13,8308,True,3.867356764564276
2026-08-18|《人民日报》谈【科普】：不是把知识讲简单,《人民日报》谈【科普】：不是把知识讲简单,2026-08-18,2026-08-18,2026-08-24,7,31.08,4523,True,6.871545434446164
2026-06-15|《人民日报》讲透【银发经济】：不是养老负担,《人民日报》讲透【银发经济】：不是养老负担,2026-06-15,2026-06-15,2026-06-21,7,29.68,7161,True,4.144672531769306
2026-06-25|《人民日报》讲【就业难】：不能只写“多给岗位”,《人民日报》讲【就业难】：不能只写“多给岗位”,2026-06-25,2026-06-25,2026-07-01,7,28.78,12104,True,2.3777263714474555
2026-07-06|《人民日报》谈教育“十五五”：不是让孩子学得更多,《人民日报》谈教育“十五五”：不是让孩子学得更多,2026-07-06,2026-07-06,2026-07-12,7,26.67,6295,True,4.23669579030977
2026-08-22|《人民日报》谈【氢能】：不是“制出氢”就够了，,《人民日报》谈【氢能】：不是“制出氢”就够了，,2026-08-22,2026-08-22,2026-08-28,7,22.61,5982,True,3.779672350384487
2026-06-06|《人民日报》系列文章讲“生态文明”：不止于绿水青山，还要有法治、治理和长期主义,《人民日报》系列文章讲“生态文明”：不止于绿水青山，还要有法治、治理和长期主义,2026-06-06,2026-06-06,2026-06-12,7,21.27,4794,True,4.4367959949937426
2026-08-17|《人民日报》谈【公共文化服务】：不是简单“送下去”,《人民日报》谈【公共文化服务】：不是简单“送下去”,2026-08-17,2026-08-17,2026-08-23,7,20.76,3425,True,6.061313868613139
2026-07-24|《人民日报》谈【科技金融】：不是多给一笔贷款,《人民日报》谈【科技金融】：不是多给一笔贷款,2026-07-24,2026-07-24,2026-07-30,7,20.68,4522,True,4.573197700132685
2026-08-14|《人民日报》谈【未成年人保护】：不能等孩子“出事”后再管,《人民日报》谈【未成年人保护】：不能等孩子“出事”后再管,2026-08-14,2026-08-14,2026-08-20,7,20.64,3933,True,5.24790236460717
2026-09-05|《人民日报》谈【提振消费】：让群众能消费、敢消费、愿消费,《人民日报》谈【提振消费】：让群众能消费、敢消费、愿消费,2026-09-05,2026-09-05,2026-09-06,2,20.42,10108,False,2.0201820340324494
2026-06-23|《人民日报》写【服务消费】：不是发券促销,《人民日报》写【服务消费】：不是发券促销,2026-06-23,2026-06-23,2026-06-29,7,18.55,6797,True,2.729145211122554
2026-08-07|《人民日报》谈【普惠托育】：不是多建几个托班,《人民日报》谈【普惠托育】：不是多建几个托班,2026-08-07,2026-08-07,2026-08-13,7,18.43,3723,True,4.950308890679559
