msg_id,item_idx,title,publish_date,read_users,new_followers,completion_rate,share_users,collect_users,thirty_day_mature,followers_per_1000_readers,income_match_count,observed_first7_income
2247489366,1,《人民日报》写“因地制宜”：申论如何写县域发展,2026-05-30,36398,3257,11.0,5384,1125,True,89.48293862300126,1,36.72
2247489440,1,《人民日报》写透文化传承：不是摆出来，而是连起来,2026-06-05,16360,405,7.0,2535,569,True,24.755501222493887,1,42.45
2247489473,1,《人民日报》这样写“新就业群体”：从服务对象到城市伙伴,2026-06-07,17969,1022,9.0,2953,913,True,56.87573042462018,1,75.54
2247489488,1,《人民日报》讲透“数字治理”：不是简单“上系统”,2026-06-08,13207,405,9.0,2224,,True,30.66555614446884,1,32.13
2247489510,1,《人民日报》讲透“全国统一大市场”：不止于大,2026-06-09,20871,509,6.0,3453,,True,24.387906664750133,1,60.25
2247489543,1,《人民日报》讲透城市更新：不是只有“拆”,2026-06-10,16784,265,10.0,2198,424,True,15.78884652049571,1,54.55
2247489677,1,《人民日报》讲透【银发经济】：不是养老负担,2026-06-15,17508,1524,8.0,2448,750,True,87.0459218642906,1,29.68
2247489807,1,《人民日报》写【服务消费】：不是发券促销,2026-06-23,7244,259,11.0,863,282,True,35.75372722252899,1,18.55
2247489925,1,《人民日报》讲【就业难】：不能只写“多给岗位”,2026-06-25,14642,654,10.0,1764,725,True,44.666029230979376,1,28.78
2247489926,1,《人民日报》讲透【科技成果转化】：别只写“产学研”,2026-06-28,41415,1743,8.0,7387,3027,True,42.0862006519377,1,101.37
2247489998,1,《人民日报》讲【六张网】：不是大基建清单,2026-07-01,26839,872,7.0,4031,1314,True,32.490033160698985,1,35.45
2247490087,1,《人民日报》谈教育“十五五”：不是让孩子学得更多,2026-07-06,8838,249,9.0,1037,425,True,28.17379497623897,1,26.67
2247490244,1,《人民日报》再谈【县域经济】：不求“小而全”,2026-07-18,34120,2865,9.0,4629,1477,True,83.968347010551,1,49.71
2247490261,1,《人民日报》谈【教育科技人才一体发展】：不是简单的并列,2026-07-20,6899,269,10.0,1244,539,True,38.991158138860705,1,0.02
2247490268,1,《人民日报》讲透“常态化帮扶”：不是简单“输血”,2026-07-22,14674,369,11.0,1971,767,True,25.146517650265775,1,35.55
2247490469,1,《人民日报》谈【物业治理】：不是“有人扫地”就行,2026-08-01,19459,362,8.0,2044,700,True,18.60321702040187,1,48.57
2247490533,1,《人民日报》谈新时代【社会工作】：不是社区“兜底包办”,2026-08-05,26973,828,13.0,3438,1152,True,30.697364030697365,1,81.8
2247490547,1,《人民日报》解读《社会救助法》：救助不只是给钱,2026-08-06,7377,160,13.0,905,318,True,21.68903348244544,1,17.27
2247490627,1,《人民日报》谈【中试平台】：不是实验室的简单放大,2026-08-11,11758,281,10.0,1805,745,False,23.898622214662357,1,41.89
2247490709,1,《人民日报》谈【基层责任边界】：属地不是无限责任,2026-08-15,17083,183,10.0,1549,639,False,10.712404144471112,1,56.65
2247490904,1,《人民日报》谈【氢能】：不是“制出氢”就够了，,2026-08-22,7875,144,15.0,929,285,False,18.285714285714285,1,22.61
2247491005,1,《人民日报》谈【提振消费】：让群众能消费、敢消费、愿消费,2026-09-05,8677,54,15.0,356,96,False,6.2233490837847185,1,20.42
