title,publish_date,topic,verb,negation,income,income_window,yuan_per_1000_reads,yuan_per_day,read_users,completion_rate,avg_read_minutes,share_users,collect_users,new_followers,follow_per_1000_reads,recommend_pct,open_rate,age_days,first_income_date,last_income_date,income_flag
《人民日报》讲透【科技成果转化】：别只写“产学研”,2026-06-28,科技成果转化,讲透,别只,101.37,101.37,2.45,1.43,41415,8.0,1.68,7387,3027,1743,42.1,67.3,214.6,71,2026-06-28,2026-07-04,
《人民日报》谈新时代【社会工作】：不是社区“兜底包办”,2026-08-05,社会工作,谈,不是,81.8,81.8,3.03,2.48,26973,13.0,2.12,3438,1152,828,30.7,68.1,76.4,33,2026-08-05,2026-08-11,
《人民日报》这样写“新就业群体”：从服务对象到城市伙伴,2026-06-07,新就业群体,这样写,无否定式,75.54,71.64,4.2,0.82,17969,9.0,1.65,2953,913,1022,56.9,69.3,236.2,92,2026-06-07,2026-06-13,
《人民日报》讲透“全国统一大市场”：不止于大,2026-06-09,全国统一大市场,讲透,不止于,60.25,60.25,2.89,0.67,20871,6.0,1.6,3453,,509,24.4,76.6,226.8,90,2026-06-09,2026-06-15,
《人民日报》谈【基层责任边界】：属地不是无限责任,2026-08-15,基层责任边界,谈,不是,56.65,56.65,3.32,2.46,17083,10.0,1.63,1549,639,183,10.7,78.5,45.1,23,2026-08-15,2026-08-21,
《人民日报》讲透城市更新：不是只有“拆”,2026-06-10,城市更新,讲透,不是,54.55,54.55,3.25,0.61,16784,10.0,1.55,2198,424,265,15.8,68.7,158.1,89,2026-06-10,2026-06-16,
《人民日报》再谈【县域经济】：不求“小而全”,2026-07-18,县域经济,再谈,无否定式,49.71,49.71,1.46,0.97,34120,9.0,1.72,4629,1477,2865,84.0,79.6,122.4,51,2026-07-18,2026-07-24,
《人民日报》谈【物业治理】：不是“有人扫地”就行,2026-08-01,物业治理,谈,不是,48.57,48.57,2.5,1.31,19459,8.0,1.55,2044,700,362,18.6,77.7,56.5,37,2026-08-01,2026-08-07,
《人民日报》写透文化传承：不是摆出来，而是连起来,2026-06-05,透文化传承,写透,不是,42.45,23.83,2.59,0.45,16360,7.0,1.43,2535,569,405,24.8,79.5,250.8,94,2026-06-05,2026-06-11,
《人民日报》谈【中试平台】：不是实验室的简单放大,2026-08-11,中试平台,谈,不是,41.89,41.89,3.56,1.55,11758,10.0,1.62,1805,745,281,23.9,57.7,31.7,27,2026-08-11,2026-08-17,
《人民日报》写“因地制宜”：申论如何写县域发展,2026-05-30,因地制宜,写,无否定式,36.72,0.0,1.01,0.37,36398,11.0,2.32,5384,1125,3257,89.5,89.2,,100,2026-05-30,2026-06-05,
《人民日报》讲透“常态化帮扶”：不是简单“输血”,2026-07-22,常态化帮扶,讲透,不是,35.55,35.55,2.42,0.76,14674,11.0,2.12,1971,767,369,25.1,62.1,48.4,47,2026-07-22,2026-07-28,
《人民日报》讲【六张网】：不是大基建清单,2026-07-01,六张网,讲,不是,35.45,35.45,1.32,0.52,26839,7.0,1.6,4031,1314,872,32.5,68.1,125.7,68,2026-07-01,2026-07-07,
《人民日报》讲透“数字治理”：不是简单“上系统”,2026-06-08,数字治理,讲透,不是,32.13,32.13,2.43,0.35,13207,9.0,1.77,2224,,405,30.7,61.2,163.1,91,2026-06-08,2026-06-14,
《人民日报》讲透【银发经济】：不是养老负担,2026-06-15,银发经济,讲透,不是,29.68,29.68,1.7,0.35,17508,8.0,2.22,2448,750,1524,87.0,79.2,124.7,84,2026-06-15,2026-06-21,
《人民日报》讲【就业难】：不能只写“多给岗位”,2026-06-25,就业难,讲,不能只,28.78,28.78,1.97,0.39,14642,10.0,1.87,1764,725,654,44.7,72.1,81.1,74,2026-06-25,2026-07-01,
《人民日报》谈教育“十五五”：不是让孩子学得更多,2026-07-06,教育,谈,不是,26.67,26.67,3.02,0.42,8838,9.0,1.77,1037,425,249,28.2,77.2,37.0,63,2026-07-06,2026-07-12,
《人民日报》谈【氢能】：不是“制出氢”就够了，,2026-08-22,氢能,谈,不是,22.61,22.61,2.87,1.41,7875,15.0,1.52,929,285,144,18.3,70.8,19.9,16,2026-08-22,2026-08-28,
《人民日报》谈【提振消费】：让群众能消费、敢消费、愿消费,2026-09-05,提振消费,谈,无否定式,20.42,20.42,2.35,10.21,8677,15.0,1.27,356,96,54,6.2,87.5,21.2,2,2026-09-05,2026-09-06,
《人民日报》写【服务消费】：不是发券促销,2026-06-23,服务消费,写,不是,18.55,18.55,2.56,0.24,7244,11.0,2.0,863,282,259,35.8,61.8,42.3,76,2026-06-23,2026-06-29,
《人民日报》解读《社会救助法》：救助不只是给钱,2026-08-06,《社会救助法》,解读,不只是,17.27,17.27,2.34,0.54,7377,13.0,1.92,905,318,160,21.7,50.9,20.5,32,2026-08-06,2026-08-12,
《人民日报》谈【教育科技人才一体发展】：不是简单的并列,2026-07-20,教育科技人才一体发展,谈,不是,0.02,0.02,0.0,0.0,6899,10.0,1.9,1244,539,269,39.0,51.3,24.0,49,2026-07-20,2026-07-26,
