date,ad_requests,impressions,impression_rate,clicks,click_rate,ecpm,income,raw_json
2026-06-08,58691,14922,0.2542,61,0.0041,3.1,46.25,"{""source"": ""ad_slot_daily聚合""}"
2026-06-09,85673,18347,0.2142,91,0.005,3.51,64.45,"{""source"": ""ad_slot_daily聚合""}"
2026-06-10,88927,18383,0.2067,84,0.0046,3.27,60.15,"{""source"": ""ad_slot_daily聚合""}"
2026-06-11,66182,13759,0.2079,53,0.0039,3.71,51.09,"{""source"": ""ad_slot_daily聚合""}"
2026-06-12,51788,10626,0.2052,58,0.0055,4.69,49.88,"{""source"": ""ad_slot_daily聚合""}"
2026-06-13,34974,7056,0.2017,27,0.0038,3.66,25.8,"{""source"": ""ad_slot_daily聚合""}"
2026-06-14,23029,4498,0.1953,29,0.0064,4.06,18.28,"{""source"": ""ad_slot_daily聚合""}"
2026-06-15,39372,8783,0.2231,45,0.0051,3.14,27.58,"{""source"": ""ad_slot_daily聚合""}"
2026-06-16,37939,9114,0.2402,36,0.0039,3.26,29.68,"{""source"": ""ad_slot_daily聚合""}"
2026-06-17,25667,6485,0.2527,39,0.006,4.1,26.58,"{""source"": ""ad_slot_daily聚合""}"
2026-06-18,21777,5133,0.2357,33,0.0064,4.53,23.25,"{""source"": ""ad_slot_daily聚合""}"
2026-06-19,10609,2789,0.2629,15,0.0054,3.42,9.55,"{""source"": ""ad_slot_daily聚合""}"
2026-06-20,14290,3021,0.2114,19,0.0063,3.41,10.31,"{""source"": ""ad_slot_daily聚合""}"
2026-06-21,13327,3145,0.236,21,0.0067,2.86,8.99,"{""source"": ""ad_slot_daily聚合""}"
2026-06-22,19079,5078,0.2662,29,0.0057,3.14,15.92,"{""source"": ""ad_slot_daily聚合""}"
2026-06-23,23828,6425,0.2696,27,0.0042,2.09,13.4,"{""source"": ""ad_slot_daily聚合""}"
2026-06-24,34980,8127,0.2323,30,0.0037,2.58,20.99,"{""source"": ""ad_slot_daily聚合""}"
2026-06-25,38589,9244,0.2396,35,0.0038,2.11,19.48,"{""source"": ""ad_slot_daily聚合""}"
2026-06-26,32739,7370,0.2251,38,0.0052,1.93,14.25,"{""source"": ""ad_slot_daily聚合""}"
2026-06-27,22692,4836,0.2131,27,0.0056,2.87,13.88,"{""source"": ""ad_slot_daily聚合""}"
2026-06-28,24516,6801,0.2774,34,0.005,3.26,22.16,"{""source"": ""ad_slot_daily聚合""}"
2026-06-29,68903,16044,0.2328,80,0.005,2.32,37.3,"{""source"": ""ad_slot_daily聚合""}"
2026-06-30,56246,13037,0.2318,73,0.0056,2.99,39.03,"{""source"": ""ad_slot_daily聚合""}"
