date,slot_name,ad_requests,impressions,impression_rate,clicks,click_rate,ecpm,income,raw_json
2026-06-08,文章中部广告,28543,12689,0.4446,57,0.0045000000000000005,3.17,40.21,"{""时间"": ""2026-06-08"", ""拉取量"": ""28,543"", ""曝光量"": ""12,689"", ""曝光率"": ""44.46%"", ""点击量"": ""57"", ""点击率"": ""0.45%"", ""eCPM（元）"": ""3.17"", ""收入（元）"": ""40.21""}"
2026-06-08,文章底部广告,14446,1551,0.1074,3,0.0019,2.77,4.3,"{""时间"": ""2026-06-08"", ""拉取量"": ""14,446"", ""曝光量"": ""1,551"", ""曝光率"": ""10.74%"", ""点击量"": ""3"", ""点击率"": ""0.19%"", ""eCPM（元）"": ""2.77"", ""收入（元）"": ""4.30""}"
2026-06-08,留言区广告,15620,671,0.043,1,0.0015,2.56,1.72,"{""时间"": ""2026-06-08"", ""拉取量"": ""15,620"", ""曝光量"": ""671"", ""曝光率"": ""4.30%"", ""点击量"": ""1"", ""点击率"": ""0.15%"", ""eCPM（元）"": ""2.56"", ""收入（元）"": ""1.72""}"
2026-06-08,贴图底部推荐流广告,82,11,0.1341,0,0.0,1.82,0.02,"{""时间"": ""2026-06-08"", ""拉取量"": ""82"", ""曝光量"": ""11"", ""曝光率"": ""13.41%"", ""点击量"": ""0"", ""点击率"": ""0.00%"", ""eCPM（元）"": ""1.82"", ""收入（元）"": ""0.02""}"
2026-06-09,文章中部广告,36165,15361,0.42469999999999997,85,0.0055000000000000005,3.59,55.22,"{""时间"": ""2026-06-09"", ""拉取量"": ""36,165"", ""曝光量"": ""15,361"", ""曝光率"": ""42.47%"", ""点击量"": ""85"", ""点击率"": ""0.55%"", ""eCPM（元）"": ""3.59"", ""收入（元）"": ""55.22""}"
2026-06-09,文章底部广告,18303,1801,0.0984,4,0.0022,3.01,5.43,"{""时间"": ""2026-06-09"", ""拉取量"": ""18,303"", ""曝光量"": ""1,801"", ""曝光率"": ""9.84%"", ""点击量"": ""4"", ""点击率"": ""0.22%"", ""eCPM（元）"": ""3.01"", ""收入（元）"": ""5.43""}"
2026-06-09,留言区广告,31086,1173,0.0377,2,0.0017000000000000001,3.23,3.79,"{""时间"": ""2026-06-09"", ""拉取量"": ""31,086"", ""曝光量"": ""1,173"", ""曝光率"": ""3.77%"", ""点击量"": ""2"", ""点击率"": ""0.17%"", ""eCPM（元）"": ""3.23"", ""收入（元）"": ""3.79""}"
2026-06-09,贴图底部推荐流广告,119,12,0.1008,0,0.0,0.83,0.01,"{""时间"": ""2026-06-09"", ""拉取量"": ""119"", ""曝光量"": ""12"", ""曝光率"": ""10.08%"", ""点击量"": ""0"", ""点击率"": ""0.00%"", ""eCPM（元）"": ""0.83"", ""收入（元）"": ""0.01""}"
2026-06-10,文章中部广告,38492,15351,0.39880000000000004,73,0.0048,3.31,50.88,"{""时间"": ""2026-06-10"", ""拉取量"": ""38,492"", ""曝光量"": ""15,351"", ""曝光率"": ""39.88%"", ""点击量"": ""73"", ""点击率"": ""0.48%"", ""eCPM（元）"": ""3.31"", ""收入（元）"": ""50.88""}"
2026-06-10,文章底部广告,19590,1953,0.09970000000000001,9,0.0046,2.86,5.58,"{""时间"": ""2026-06-10"", ""拉取量"": ""19,590"", ""曝光量"": ""1,953"", ""曝光率"": ""9.97%"", ""点击量"": ""9"", ""点击率"": ""0.46%"", ""eCPM（元）"": ""2.86"", ""收入（元）"": ""5.58""}"
