"链接","文章名","展示次数","点击次数","曝光有点率","排序位置","文章搜索词"
"http://mp.weixin.qq.com/s?__biz=MzIzMjA4MTI3MQ==&mid=2247490268&idx=1&sn=70050539870b6725c7e95aaa36036d6f&chksm=e92a00bee1774446a4475c8c6c93e1558497025ff2d53f4d9182930897596dc99af91c7d5dcf#rd","《人民日报》讲透“常态化帮扶”：不是简单“输血”","3755","455","12.12%","11.36","常态化帮扶，常态化，帮扶"
"http://mp.weixin.qq.com/s?__biz=MzIzMjA4MTI3MQ==&mid=2247489440&idx=1&sn=2ffc8c1c014f49a72ed998344b830f9d&chksm=e9b68b5e217349368972124913f15d98ef27aa18330b4ae36e023d492e4cb4fde04ee8f231e8#rd","《人民日报》写透文化传承：不是摆出来，而是连起来","2604","137","5.26%","7.69","传承，文化，文化传承"
"http://mp.weixin.qq.com/s?__biz=MzIzMjA4MTI3MQ==&mid=2247490244&idx=1&sn=27a0e1fce163dd2559a064300a96c609&chksm=e94e4268e96b56f2a3217828eee515710a39f4454eb8226a5911c527a520df3292efef595215#rd","《人民日报》再谈【县域经济】：不求“小而全”","2362","422","17.87%","9.12","县域经济，县城经济，县域经济35条"
"http://mp.weixin.qq.com/s?__biz=MzIzMjA4MTI3MQ==&mid=2247489997&idx=1&sn=b50e485a97db0dc32f65caea03d0bc0f&chksm=e9e5ae177d045618c00e2f65f93171e63b6a34ea0a396e60d543be6292690b04a9e8b5333cc4#rd","《人民日报》讲【文化传承】：既要守住根脉，也要走进生活、走向世界","1933","128","6.62%","8.11","传承，文化传承，文化"
"http://mp.weixin.qq.com/s?__biz=MzIzMjA4MTI3MQ==&mid=2247490533&idx=1&sn=1c56d5b3f8b92afd90c354f5399638a7&chksm=e9cecd41d6ed96cad3b3b6ae4361838082abe3e007ce951944e8e503b425913e6db2d002aee5#rd","《人民日报》谈新时代【社会工作】：不是社区“兜底包办”","1792","204","11.38%","12.73","社会工作，新时代，社会"
"http://mp.weixin.qq.com/s?__biz=MzIzMjA4MTI3MQ==&mid=2247490693&idx=1&sn=3d589042ffbff20660ae3275f651c451&chksm=e90bb295932fe7e565369964f2aa50382f769aecd0e0b6090ce83fea5c0727ee67bc6195a348#rd","《人民日报》谈【未成年人保护】：不能等孩子“出事”后再管","1721","150","8.72%","8.09","未成年人，未成年人保护，未成年保护"
"http://mp.weixin.qq.com/s?__biz=MzIzMjA4MTI3MQ==&mid=2247490709&idx=1&sn=9b15dc9e3e8802d03f9805c142fde207&chksm=e9a2e6d75fe7276e5e35d80e71ecbd4e1e675366956883c7ddaee97c554320e760f746065245#rd","《人民日报》谈【基层责任边界】：属地不是无限责任","1559","159","10.20%","9.12","基层，属地，属地责任不是无限责任 人民日报"
"http://mp.weixin.qq.com/s?__biz=MzIzMjA4MTI3MQ==&mid=2247489998&idx=1&sn=56d8cd5b1b094eb25a11bf4b666bde21&chksm=e937700c664277d8c68c94d3d9a959c59b648273cda0ca56bc6d0a9931d3a1e97af6c53b99da#rd","《人民日报》讲【六张网】：不是大基建清单","1312","196","14.94%","17.52","六张网，六张网建设，六张网政策解读"
"http://mp.weixin.qq.com/s?__biz=MzIzMjA4MTI3MQ==&mid=2247490995&idx=1&sn=15729e954cfc9eb5f8d6aa877b0418fa&chksm=e9bde52e17676b4abf500047463db022b71e53dcd290c5eef0025bf4d97b461c4ea67d531355#rd","《人民日报》谈【基层减负】：不是简单少干活","992","95","9.58%","10.81","基层减负，减负，基层"
"http://mp.weixin.qq.com/s?__biz=MzIzMjA4MTI3MQ==&mid=2247489473&idx=1&sn=733bf435bd6798487e9a46dc7e3473de&chksm=e9b0a2614bad7036982b0f6b593b3dd24e26189beb115de22c07a3ba6e66ad76ba9076241ba0#rd","《人民日报》这样写“新就业群体”：从服务对象到城市伙伴","988","163","16.50%","11.09","新就业群体，新就业群体是哪些人，新就业"
