时间,拉取量,曝光量,曝光率,点击量,点击率,eCPM（元）,收入（元）
2026-09-06,"16,930","7,647",45.17%,18,0.24%,1.92,14.66
2026-09-05,"7,057","3,239",45.90%,16,0.49%,2.62,8.47
2026-09-04,"4,526","2,109",46.60%,11,0.52%,3.15,6.64
2026-09-03,"3,422","1,664",48.63%,5,0.30%,2.58,4.29
2026-09-02,"4,084","1,970",48.24%,9,0.46%,2.21,4.35
2026-09-01,"4,038","1,960",48.54%,4,0.20%,2.96,5.80
2026-08-31,"7,135","3,391",47.53%,33,0.97%,3.34,11.32
2026-08-30,"3,393","1,622",47.80%,12,0.74%,3.83,6.21
2026-08-29,"3,652","1,709",46.80%,12,0.70%,3.29,5.63
2026-08-28,"5,277","2,501",47.39%,8,0.32%,2.09,5.23
2026-08-27,"7,974","3,643",45.69%,12,0.33%,2.08,7.58
2026-08-26,"8,419","3,780",44.90%,29,0.77%,2.90,10.95
2026-08-25,"10,976","5,202",47.39%,27,0.52%,2.67,13.90
2026-08-24,"12,955","6,285",48.51%,38,0.60%,2.76,17.36
2026-08-23,"11,474","5,610",48.89%,45,0.80%,5.58,31.31
2026-08-22,"8,277","3,911",47.25%,20,0.51%,5.09,19.89
2026-08-21,"13,936","6,485",46.53%,31,0.48%,2.75,17.83
2026-08-20,"15,565","7,519",48.31%,35,0.47%,2.77,20.85
2026-08-19,"15,811","7,461",47.19%,38,0.51%,2.98,22.20
2026-08-18,"18,170","8,744",48.12%,36,0.41%,3.75,32.79
2026-08-17,"23,511","11,452",48.71%,49,0.43%,3.75,42.99
2026-08-16,"16,548","8,182",49.44%,41,0.50%,3.98,32.60
2026-08-15,"9,611","4,517",47.00%,29,0.64%,3.67,16.56
2026-08-14,"16,765","7,914",47.21%,47,0.59%,3.18,25.16
2026-08-13,"14,837","6,948",46.83%,32,0.46%,3.20,22.22
2026-08-12,"13,334","6,273",47.05%,28,0.45%,3.12,19.59
2026-08-11,"12,235","5,854",47.85%,37,0.63%,3.66,21.42
2026-08-10,"14,832","7,096",47.84%,51,0.72%,3.28,23.28
2026-08-09,"11,156","4,607",41.30%,30,0.65%,3.92,18.07
2026-08-08,"11,423","5,531",48.42%,32,0.58%,4.26,23.58
2026-08-07,"17,363","8,303",47.82%,48,0.58%,3.10,25.72
2026-08-06,"20,887","10,918",52.27%,61,0.56%,3.35,36.56
2026-08-05,"26,727","13,848",51.81%,55,0.40%,2.27,31.37
2026-08-04,"16,194","7,795",48.14%,44,0.56%,3.17,24.74
2026-08-03,"14,528","6,740",46.39%,35,0.52%,2.10,14.16
2026-08-02,"13,111","6,115",46.64%,35,0.57%,3.60,21.99
2026-08-01,"13,949","6,592",47.26%,39,0.59%,2.80,18.45
2026-07-31,"12,435","5,774",46.43%,32,0.55%,2.73,15.78
2026-07-30,"12,951","5,876",45.37%,22,0.37%,2.76,16.22
2026-07-29,"11,939","5,458",45.72%,30,0.55%,2.45,13.39
2026-07-28,"15,960","7,130",44.67%,42,0.59%,3.14,22.41
2026-07-27,"17,655","7,818",44.28%,51,0.65%,2.40,18.80
