时间,拉取量,曝光量,曝光率,点击量,点击率,eCPM（元）,收入（元）
2026-09-06,"8,471","1,257",14.84%,2,0.16%,1.84,2.31
2026-09-05,"3,557",409,11.50%,0,0.00%,3.15,1.29
2026-09-04,"2,307",285,12.35%,0,0.00%,7.58,2.16
2026-09-03,"1,743",241,13.83%,0,0.00%,2.53,0.61
2026-09-02,"2,059",266,12.92%,1,0.38%,1.95,0.52
2026-09-01,"2,054",250,12.17%,1,0.40%,8.60,2.15
2026-08-31,"3,593",439,12.22%,4,0.91%,3.64,1.60
2026-08-30,"1,743",218,12.51%,1,0.46%,3.90,0.85
2026-08-29,"1,998",222,11.11%,1,0.45%,2.25,0.50
2026-08-28,"2,914",356,12.22%,6,1.69%,1.57,0.56
2026-08-27,"4,221",506,11.99%,3,0.59%,2.33,1.18
2026-08-26,"4,752",490,10.31%,3,0.61%,4.06,1.99
2026-08-25,"5,955",709,11.91%,1,0.14%,3.22,2.28
2026-08-24,"7,661",979,12.78%,3,0.31%,3.03,2.97
2026-08-23,"6,373",820,12.87%,5,0.61%,7.66,6.28
2026-08-22,"4,157",460,11.07%,3,0.65%,5.26,2.42
2026-08-21,"6,999",784,11.20%,3,0.38%,2.49,1.95
2026-08-20,"7,822",990,12.66%,5,0.51%,2.73,2.70
2026-08-19,"7,904",851,10.77%,4,0.47%,3.58,3.05
2026-08-18,"9,074","1,011",11.14%,3,0.30%,2.27,2.30
2026-08-17,"11,754","1,228",10.45%,5,0.41%,2.60,3.19
2026-08-16,"8,290",844,10.18%,4,0.47%,3.61,3.05
2026-08-15,"4,830",509,10.54%,3,0.59%,2.55,1.30
2026-08-14,"8,408",880,10.47%,4,0.45%,2.52,2.22
2026-08-13,"7,434",767,10.32%,2,0.26%,2.19,1.68
2026-08-12,"6,676",730,10.93%,2,0.27%,2.44,1.78
2026-08-11,"6,133",663,10.81%,2,0.30%,3.21,2.13
2026-08-10,"7,429",864,11.63%,5,0.58%,2.35,2.03
2026-08-09,"5,599",542,9.68%,0,0.00%,2.90,1.57
2026-08-08,"5,736",598,10.43%,1,0.17%,4.90,2.93
2026-08-07,"8,690",968,11.14%,2,0.21%,2.79,2.70
2026-08-06,"10,459","1,367",13.07%,5,0.37%,3.32,4.54
2026-08-05,"13,394","1,771",13.22%,7,0.40%,2.07,3.67
2026-08-04,"8,120",869,10.70%,4,0.46%,2.67,2.32
2026-08-03,"7,290",781,10.71%,4,0.51%,1.57,1.23
2026-08-02,"6,576",584,8.88%,0,0.00%,3.07,1.79
2026-08-01,"7,011",686,9.78%,2,0.29%,2.99,2.05
2026-07-31,"6,270",746,11.90%,1,0.13%,3.69,2.75
2026-07-30,"6,533",693,10.61%,1,0.14%,2.71,1.88
2026-07-29,"5,988",659,11.01%,1,0.15%,1.71,1.13
2026-07-28,"8,056",880,10.92%,3,0.34%,2.78,2.45
2026-07-27,"8,893",976,10.97%,5,0.51%,2.03,1.98
2026-07-26,"3,894",355,9.12%,2,0.56%,2.20,0.78
2026-07-25,"4,759",468,9.83%,4,0.85%,2.39,1.12
2026-07-24,"8,946",840,9.39%,1,0.12%,1.89,1.59
2026-07-23,"11,439","1,326",11.59%,3,0.23%,1.76,2.33
2026-07-22,"8,767",938,10.70%,8,0.85%,2.27,2.13
2026-07-21,"8,407",922,10.97%,3,0.33%,2.68,2.47
2026-07-20,"8,844",999,11.30%,2,0.20%,1.40,1.40
2026-07-19,"7,834",666,8.50%,1,0.15%,2.73,1.82
2026-07-18,"5,601",611,10.91%,1,0.16%,5.45,3.33
2026-07-17,"5,654",607,10.74%,3,0.49%,1.75,1.06
2026-07-16,"5,774",608,10.53%,2,0.33%,2.17,1.32
2026-07-15,"5,735",643,11.21%,2,0.31%,2.69,1.73
2026-07-14,"6,386",766,11.99%,1,0.13%,2.15,1.65
2026-07-13,"7,602",890,11.71%,5,0.56%,3.46,3.08
2026-07-12,"4,465",440,9.85%,2,0.45%,2.93,1.29
2026-07-11,"3,789",435,11.48%,2,0.46%,7.33,3.19
2026-07-10,"6,477",656,10.13%,5,0.76%,4.22,2.77
2026-07-09,"6,083",565,9.29%,2,0.35%,2.05,1.16
2026-07-08,"5,820",679,11.67%,1,0.15%,2.42,1.64
2026-07-07,"6,999",674,9.63%,2,0.30%,2.17,1.46
2026-07-06,"6,890",804,11.67%,1,0.12%,1.60,1.29
2026-07-05,"5,238",456,8.71%,4,0.88%,2.52,1.15
2026-07-04,"6,667",557,8.35%,3,0.54%,2.30,1.28
2026-07-03,"9,757","1,004",10.29%,3,0.30%,2.25,2.26
2026-07-02,"9,128","1,042",11.42%,7,0.67%,2.39,2.49
2026-07-01,"11,278","1,161",10.29%,2,0.17%,1.67,1.94
2026-06-30,"12,203","1,289",10.56%,1,0.08%,2.01,2.59
2026-06-29,"14,973","1,643",10.97%,3,0.18%,2.62,4.30
2026-06-28,"6,201",696,11.22%,1,0.14%,3.36,2.34
2026-06-27,"5,027",509,10.13%,0,0.00%,2.85,1.45
2026-06-26,"7,127",847,11.88%,5,0.59%,2.49,2.11
2026-06-25,"8,614","1,059",12.29%,0,0.00%,2.54,2.69
2026-06-24,"7,811",971,12.43%,0,0.00%,2.29,2.22
2026-06-23,"5,813",813,13.99%,5,0.62%,2.30,1.87
2026-06-22,"4,922",657,13.35%,2,0.30%,3.64,2.39
2026-06-21,"3,384",346,10.22%,2,0.58%,3.61,1.25
2026-06-20,"3,495",398,11.39%,3,0.75%,3.59,1.43
2026-06-19,"2,541",361,14.21%,3,0.83%,3.49,1.26
2026-06-18,"5,423",593,10.93%,2,0.34%,4.23,2.51
2026-06-17,"6,559",786,11.98%,1,0.13%,3.19,2.51
2026-06-16,"9,296","1,029",11.07%,4,0.39%,3.13,3.22
2026-06-15,"9,119",983,10.78%,3,0.31%,2.99,2.94
2026-06-14,"4,955",426,8.60%,3,0.70%,5.49,2.34
2026-06-13,"7,551",746,9.88%,0,0.00%,3.49,2.60
2026-06-12,"11,138","1,079",9.69%,7,0.65%,3.25,3.51
2026-06-11,"14,240","1,409",9.89%,2,0.14%,3.66,5.15
2026-06-10,"19,590","1,953",9.97%,9,0.46%,2.86,5.58
2026-06-09,"18,303","1,801",9.84%,4,0.22%,3.01,5.43
2026-06-08,"14,446","1,551",10.74%,3,0.19%,2.77,4.30
