时间,拉取量,曝光量,曝光率,点击量,点击率,eCPM（元）,收入（元）
2026-09-06,"14,918","1,500",10.05%,5,0.33%,2.43,3.65
2026-09-05,"2,424",117,4.83%,1,0.85%,4.10,0.48
2026-09-04,"1,910",90,4.71%,0,0.00%,2.67,0.24
2026-09-03,922,40,4.34%,0,0.00%,5.50,0.22
2026-09-02,978,33,3.37%,0,0.00%,2.12,0.07
2026-09-01,"1,134",35,3.09%,0,0.00%,10.57,0.37
2026-08-31,"1,582",61,3.86%,0,0.00%,1.80,0.11
2026-08-30,"1,044",44,4.21%,0,0.00%,1.59,0.07
2026-08-29,"1,159",62,5.35%,0,0.00%,2.10,0.13
2026-08-28,"2,202",85,3.86%,0,0.00%,2.00,0.17
2026-08-27,"3,047",115,3.77%,2,1.74%,2.61,0.30
2026-08-26,"3,783",145,3.83%,3,2.07%,3.24,0.47
2026-08-25,"3,976",179,4.50%,2,1.12%,4.13,0.74
2026-08-24,"5,267",233,4.42%,3,1.29%,3.43,0.80
2026-08-23,"4,992",228,4.57%,2,0.88%,5.92,1.35
2026-08-22,"4,292",157,3.66%,1,0.64%,6.75,1.06
2026-08-21,"7,193",298,4.14%,1,0.34%,1.98,0.59
2026-08-20,"6,251",269,4.30%,1,0.37%,2.12,0.57
2026-08-19,"8,942",369,4.13%,1,0.27%,3.33,1.23
2026-08-18,"10,987",509,4.63%,0,0.00%,2.28,1.16
2026-08-17,"15,751",700,4.44%,5,0.71%,3.76,2.63
2026-08-16,"8,562",363,4.24%,1,0.28%,4.41,1.60
2026-08-15,"5,081",197,3.88%,0,0.00%,3.30,0.65
2026-08-14,"6,834",262,3.83%,0,0.00%,3.40,0.89
2026-08-13,"6,536",262,4.01%,2,0.76%,2.40,0.63
2026-08-12,"7,803",311,3.99%,0,0.00%,2.48,0.77
2026-08-11,"6,335",274,4.33%,2,0.73%,2.88,0.79
2026-08-10,"7,910",378,4.78%,1,0.26%,2.72,1.03
2026-08-09,"7,737",283,3.66%,0,0.00%,3.78,1.07
2026-08-08,"7,565",319,4.22%,2,0.63%,4.08,1.30
2026-08-07,"12,923",616,4.77%,2,0.32%,3.36,2.07
2026-08-06,"17,797","1,011",5.68%,5,0.49%,3.86,3.90
2026-08-05,"15,541",748,4.81%,4,0.53%,2.38,1.78
2026-08-04,"8,816",343,3.89%,3,0.87%,1.90,0.65
2026-08-03,"9,564",361,3.77%,1,0.28%,1.91,0.69
2026-08-02,"10,544",396,3.76%,0,0.00%,3.76,1.49
2026-08-01,"8,371",311,3.72%,3,0.96%,2.80,0.87
2026-07-31,"7,606",321,4.22%,0,0.00%,3.68,1.18
2026-07-30,"8,954",353,3.94%,2,0.57%,3.54,1.25
2026-07-29,"7,504",302,4.02%,0,0.00%,1.92,0.58
2026-07-28,"8,091",333,4.12%,1,0.30%,3.33,1.11
2026-07-27,"9,705",399,4.11%,1,0.25%,2.51,1.00
2026-07-26,"5,155",148,2.87%,0,0.00%,3.18,0.47
2026-07-25,"6,974",264,3.79%,3,1.14%,2.80,0.74
2026-07-24,"14,522",529,3.64%,5,0.95%,2.25,1.19
2026-07-23,"14,612",607,4.15%,1,0.16%,2.29,1.39
2026-07-22,"9,886",464,4.69%,4,0.86%,2.95,1.37
2026-07-21,"7,834",383,4.89%,2,0.52%,2.22,0.85
2026-07-20,"6,729",310,4.61%,0,0.00%,3.19,0.99
2026-07-19,"5,751",198,3.44%,0,0.00%,2.32,0.46
2026-07-18,"4,462",191,4.28%,0,0.00%,3.87,0.74
2026-07-17,"5,927",228,3.85%,0,0.00%,1.75,0.40
2026-07-16,"6,286",251,3.99%,0,0.00%,2.55,0.64
2026-07-15,"5,252",181,3.45%,1,0.55%,2.98,0.54
2026-07-14,"6,179",237,3.84%,0,0.00%,2.45,0.58
2026-07-13,"6,186",226,3.65%,0,0.00%,3.50,0.79
2026-07-12,"4,240",140,3.30%,0,0.00%,4.79,0.67
2026-07-11,"3,719",137,3.68%,0,0.00%,8.10,1.11
2026-07-10,"5,458",186,3.41%,0,0.00%,5.97,1.11
2026-07-09,"6,560",209,3.19%,1,0.48%,12.97,2.71
2026-07-08,"7,751",314,4.05%,2,0.64%,2.68,0.84
2026-07-07,"8,953",343,3.83%,3,0.87%,2.10,0.72
2026-07-06,"10,598",475,4.48%,1,0.21%,2.38,1.13
2026-07-05,"7,146",223,3.12%,1,0.45%,3.99,0.89
2026-07-04,"5,749",225,3.91%,0,0.00%,2.71,0.61
2026-07-03,"8,893",362,4.07%,2,0.55%,6.80,2.46
2026-07-02,"11,469",483,4.21%,4,0.83%,4.72,2.28
2026-07-01,"16,958",670,3.95%,2,0.30%,2.28,1.53
