时间,拉取量,曝光量,曝光率,点击量,点击率,eCPM（元）,收入（元）
2026-09-06,92,6,6.52%,0,0.00%,3.33,0.02
2026-09-05,56,7,12.50%,1,14.29%,5.71,0.04
2026-09-04,111,11,9.91%,0,0.00%,1.82,0.02
2026-09-03,106,9,8.49%,1,11.11%,3.33,0.03
2026-09-02,112,11,9.82%,0,0.00%,3.64,0.04
2026-09-01,222,33,14.86%,1,3.03%,7.58,0.25
2026-08-31,285,29,10.18%,0,0.00%,5.86,0.17
2026-08-30,178,19,10.67%,1,5.26%,3.68,0.07
2026-08-29,229,21,9.17%,0,0.00%,5.24,0.11
2026-08-28,290,37,12.76%,0,0.00%,4.05,0.15
2026-08-27,431,42,9.74%,2,4.76%,3.10,0.13
2026-08-26,546,50,9.16%,3,6.00%,4.60,0.23
2026-08-25,123,12,9.76%,0,0.00%,0.83,0.01
2026-08-24,164,15,9.15%,0,0.00%,1.33,0.02
2026-08-23,96,5,5.21%,0,0.00%,4.00,0.02
2026-08-22,117,7,5.98%,0,0.00%,4.29,0.03
2026-08-21,425,40,9.41%,2,5.00%,3.00,0.12
2026-08-20,650,76,11.69%,1,1.32%,3.29,0.25
2026-08-19,657,57,8.68%,1,1.75%,2.63,0.15
2026-08-18,368,29,7.88%,0,0.00%,1.72,0.05
2026-07-30,17,1,5.88%,0,0.00%,0.00,0.00
2026-07-28,12,2,16.67%,0,0.00%,0.00,0.00
2026-07-27,11,1,9.09%,0,0.00%,0.00,0.00
2026-07-24,6,1,16.67%,0,0.00%,0.00,0.00
2026-07-22,25,2,8.00%,0,0.00%,0.00,0.00
2026-07-15,4,1,25.00%,0,0.00%,0.00,0.00
2026-07-09,12,1,8.33%,0,0.00%,0.00,0.00
2026-07-06,4,2,50.00%,0,0.00%,0.00,0.00
2026-07-05,5,1,20.00%,0,0.00%,0.00,0.00
2026-07-03,19,3,15.79%,0,0.00%,0.00,0.00
2026-07-01,4,1,25.00%,0,0.00%,0.00,0.00
2026-06-30,21,1,4.76%,0,0.00%,0.00,0.00
2026-06-29,14,1,7.14%,0,0.00%,0.00,0.00
2026-06-28,14,2,14.29%,0,0.00%,0.00,0.00
2026-06-27,37,3,8.11%,0,0.00%,0.00,0.00
2026-06-26,72,8,11.11%,0,0.00%,2.50,0.02
2026-06-25,87,9,10.34%,0,0.00%,2.22,0.02
2026-06-24,67,5,7.46%,0,0.00%,28.00,0.14
2026-06-23,44,3,6.82%,0,0.00%,0.00,0.00
2026-06-22,55,3,5.45%,0,0.00%,0.00,0.00
2026-06-21,50,2,4.00%,0,0.00%,5.00,0.01
2026-06-20,27,2,7.41%,0,0.00%,15.00,0.03
2026-06-19,72,3,4.17%,0,0.00%,0.00,0.00
2026-06-18,67,2,2.99%,0,0.00%,5.00,0.01
2026-06-17,77,5,6.49%,0,0.00%,2.00,0.01
2026-06-15,72,5,6.94%,0,0.00%,2.00,0.01
2026-06-14,48,2,4.17%,0,0.00%,0.00,0.00
2026-06-13,54,5,9.26%,0,0.00%,2.00,0.01
2026-06-12,113,15,13.27%,0,0.00%,1.33,0.02
2026-06-11,102,12,11.76%,0,0.00%,1.67,0.02
2026-06-10,138,10,7.25%,0,0.00%,0.00,0.00
2026-06-09,119,12,10.08%,0,0.00%,0.83,0.01
2026-06-08,82,11,13.41%,0,0.00%,1.82,0.02
