topic,status,media_count,article_count,start_date,end_date,sources,article_id,date,source,title,url
停车计费规则,hotspot,3,4,2026-06-24,2026-06-26,上观新闻、人民日报客户端、光明论微信公号,peopleapp_opinion_20260624_30052480669_500007563326,2026-06-24,光明论微信公号,停车费叫停“向上取整”，小账本里有大民生,https://www.peopleapp.com/column/30052480669-500007563326
停车计费规则,hotspot,3,4,2026-06-24,2026-06-26,上观新闻、人民日报客户端、光明论微信公号,peopleapp_opinion_20260625_30052491224_500007565373,2026-06-25,上观新闻,停车计费算清“明白账”，精细治理温暖城市街角,https://www.peopleapp.com/column/30052491224-500007565373
停车计费规则,hotspot,3,4,2026-06-24,2026-06-26,上观新闻、人民日报客户端、光明论微信公号,peopleapp_opinion_20260625_30052476000_500007564442,2026-06-25,人民日报客户端,停车计费，就该“分秒必争”,https://www.peopleapp.com/column/30052476000-500007564442
停车计费规则,hotspot,3,4,2026-06-24,2026-06-26,上观新闻、人民日报客户端、光明论微信公号,peopleapp_opinion_20260626_30052491571_500007565997,2026-06-26,人民日报客户端,人民锐评 | 停车计费，就该“分秒必争”,https://www.peopleapp.com/column/30052491571-500007565997
开屏广告治理,hotspot,3,3,2026-06-24,2026-06-25,光明网时评频道、南方都市报、澎湃新闻,peopleapp_opinion_20260624_30052477928_500007563140,2026-06-24,光明网时评频道,“开屏广告没了”引发热议，数字界面该回归清爽了,https://www.peopleapp.com/column/30052477928-500007563140
开屏广告治理,hotspot,3,3,2026-06-24,2026-06-25,光明网时评频道、南方都市报、澎湃新闻,peopleapp_opinion_20260625_30052488735_500007565133,2026-06-25,南方都市报,导航软件追求收益，不应以用户安全为代价,https://www.peopleapp.com/column/30052488735-500007565133
开屏广告治理,hotspot,3,3,2026-06-24,2026-06-25,光明网时评频道、南方都市报、澎湃新闻,peopleapp_opinion_20260625_30052488641_500007565121,2026-06-25,澎湃新闻,治理“开屏摇一摇”广告，不能只好一阵子,https://www.peopleapp.com/column/30052488641-500007565121
高考志愿填报,hotspot,3,3,2026-06-24,2026-06-25,南方日报、广州日报、澎湃新闻,peopleapp_opinion_20260624_30052480394_500007563312,2026-06-24,广州日报,高考志愿填报不可迷信“专家”,https://www.peopleapp.com/column/30052480394-500007563312
高考志愿填报,hotspot,3,3,2026-06-24,2026-06-25,南方日报、广州日报、澎湃新闻,peopleapp_opinion_20260625_30052488640_500007565120,2026-06-25,南方日报,AI“改动”了你的高考志愿吗,https://www.peopleapp.com/column/30052488640-500007565120
高考志愿填报,hotspot,3,3,2026-06-24,2026-06-25,南方日报、广州日报、澎湃新闻,peopleapp_opinion_20260625_30052490778_500007565360,2026-06-25,澎湃新闻,规范志愿填报市场，消除信息不对称,https://www.peopleapp.com/column/30052490778-500007565360
党员干部,candidate,2,3,2026-06-24,2026-06-26,人民日报、人民日报客户端,peopleapp_opinion_20260624_30052480014_500007563330,2026-06-24,人民日报客户端,零时差 | 英国驻华大使走进延安，他看到了怎样的“过去、现在与未来”？,https://www.peopleapp.com/column/30052480014-500007563330
党员干部,candidate,2,3,2026-06-24,2026-06-26,人民日报、人民日报客户端,peopleapp_opinion_20260625_30052482672_500007563560,2026-06-25,人民日报,人民日报刊文：实干的三重意涵,https://www.peopleapp.com/column/30052482672-500007563560
党员干部,candidate,2,3,2026-06-24,2026-06-26,人民日报、人民日报客户端,peopleapp_opinion_20260626_30052492296_500007565703,2026-06-26,人民日报,人民日报刊文：弘扬实事求是的优良作风,https://www.peopleapp.com/column/30052492296-500007565703
2025,candidate,2,2,2026-06-24,2026-06-26,人民日报、澎湃新闻,peopleapp_opinion_20260624_30052478313_500007563166,2026-06-24,澎湃新闻,录取通知书回归“一页纸”，也可传递“大心意”,https://www.peopleapp.com/column/30052478313-500007563166
2025,candidate,2,2,2026-06-24,2026-06-26,人民日报、澎湃新闻,peopleapp_opinion_20260626_30052492316_500007565702,2026-06-26,人民日报,买买买！“新特产”何以圈粉外国游客,https://www.peopleapp.com/column/30052492316-500007565702
教师减负,candidate,2,2,2026-06-24,2026-06-24,光明论微信公号、南方日报,peopleapp_opinion_20260624_30052474186_500007561911,2026-06-24,光明论微信公号,为教师减负不能只停留在文件,https://www.peopleapp.com/column/30052474186-500007561911
教师减负,candidate,2,2,2026-06-24,2026-06-24,光明论微信公号、南方日报,peopleapp_opinion_20260624_30052478141_500007563151,2026-06-24,南方日报,为教师减负，再怎么重视也不为过,https://www.peopleapp.com/column/30052478141-500007563151
来之不易,candidate,2,2,2026-06-24,2026-06-25,人民日报体育微信公号、人民日报客户端,peopleapp_opinion_20260624_30052475980_500007563153,2026-06-24,人民日报客户端,零时差 | 复航的船与解冻的钱：美伊签下“60日之约”,https://www.peopleapp.com/column/30052475980-500007563153
来之不易,candidate,2,2,2026-06-24,2026-06-25,人民日报体育微信公号、人民日报客户端,peopleapp_opinion_20260625_30052491321_500007565389,2026-06-25,人民日报体育微信公号,美加墨世界杯丨16年前小组赛出局的东道主，今日逆袭出线,https://www.peopleapp.com/column/30052491321-500007565389
粮食安全,candidate,2,2,2026-06-24,2026-06-25,人民日报、人民日报客户端,peopleapp_opinion_20260624_30052480551_500007563379,2026-06-24,人民日报客户端,经济热点快评｜总书记为何再次强调这个“重中之重”,https://www.peopleapp.com/column/30052480551-500007563379
粮食安全,candidate,2,2,2026-06-24,2026-06-25,人民日报、人民日报客户端,peopleapp_opinion_20260625_30052482635_500007563559,2026-06-25,人民日报,今日谈：铆足干劲，力争全年粮食丰收,https://www.peopleapp.com/column/30052482635-500007563559
营商环境,candidate,2,2,2026-06-25,2026-06-25,人民日报、浙江宣传微信公号,peopleapp_opinion_20260625_30052483125_500007563558,2026-06-25,浙江宣传微信公号,“打工友好”是重要的营商环境,https://www.peopleapp.com/column/30052483125-500007563558
营商环境,candidate,2,2,2026-06-25,2026-06-25,人民日报、浙江宣传微信公号,peopleapp_opinion_20260625_30052482654_500007563562,2026-06-25,人民日报,涉企检查，“无事不扰”与“无处不在”如何统一？,https://www.peopleapp.com/column/30052482654-500007563562
为民造福,candidate,1,2,2026-06-24,2026-06-26,人民日报,peopleapp_opinion_20260624_30052472890_500007561820,2026-06-24,人民日报,从“天圆地方”说开去,https://www.peopleapp.com/column/30052472890-500007561820
为民造福,candidate,1,2,2026-06-24,2026-06-26,人民日报,peopleapp_opinion_20260626_30052492270_500007565705,2026-06-26,人民日报,人民论坛：“最终要落到为民造福上”,https://www.peopleapp.com/column/30052492270-500007565705
